trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9588496310845509}",20,-7,-170.02263940226158,"{0: 15, 1: 3, 2: 4, 3: 3, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.9578907814534664}",25,-11,-147.59795096806195,"{0: 23, 1: 3, 2: 7, 3: 1, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.9569328906720129}",20,10,-96.79385539086417,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 2}",1
45,False,"{'a': 0.5, 'e': 0.9559759577813409}",20,-2,-58.3725971678508,"{0: 15, 1: 4, 2: 2, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.9550199818235596}",30,-100,-574.4162738514038,"{0: 88, 1: 6, 2: 24, 3: 3, 4: 9}",0
47,False,"{'a': 0.5, 'e': 0.9540649618417361}",25,-35,-291.37735988867433,"{0: 34, 1: 9, 2: 10, 3: 4, 4: 3}",0
48,False,"{'a': 0.5, 'e': 0.9531108968798944}",25,-15,-255.53608656740894,"{0: 21, 1: 4, 2: 10, 3: 2, 4: 3}",0
49,False,"{'a': 0.5, 'e': 0.9521577859830145}",30,-12,-225.72218255012044,"{0: 26, 1: 4, 2: 7, 3: 1, 4: 4}",0
50,False,"{'a': 0.5, 'e': 0.9512056281970315}",20,-45,-258.98797161439455,"{0: 40, 1: 9, 2: 11, 3: 2, 4: 3}",0
51,False,"{'a': 0.5, 'e': 0.9502544225688344}",25,-92,-580.3204140558323,"{0: 72, 1: 9, 2: 22, 3: 7, 4: 7}",0
52,False,"{'a': 0.5, 'e': 0.9493041681462656}",25,-13,-168.4832220080163,"{0: 22, 1: 5, 2: 8, 3: 1, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.9483548639781193}",20,-9,-92.351978818167,"{0: 22, 1: 2, 2: 2, 3: 1, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.9474065091141411}",30,-100,-562.0293287583437,"{0: 79, 1: 13, 2: 27, 3: 5, 4: 6}",0
55,False,"{'a': 0.5, 'e': 0.946459102605027}",30,-63,-590.5799171007474,"{0: 57, 1: 2, 2: 19, 3: 6, 4: 9}",0
56,False,"{'a': 0.5, 'e': 0.9455126435024219}",35,-100,-773.7476131794655,"{0: 78, 1: 20, 2: 18, 3: 8, 4: 11}",0
57,False,"{'a': 0.5, 'e': 0.9445671308589195}",20,-88,-518.3018303230191,"{0: 60, 1: 16, 2: 22, 3: 5, 4: 5}",0
58,False,"{'a': 0.5, 'e': 0.9436225637280606}",20,3,-178.58589631931167,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 4}",1
59,False,"{'a': 0.5, 'e': 0.9426789411643326}",25,-2,-20.4264918828987,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.9417362622231683}",20,-62,-352.40291915048925,"{0: 54, 1: 6, 2: 14, 3: 3, 4: 5}",0
61,False,"{'a': 0.5, 'e': 0.9407945259609451}",20,-100,-392.35545700647924,"{0: 82, 1: 11, 2: 17, 3: 6, 4: 4}",0
62,False,"{'a': 0.5, 'e': 0.9398537314349842}",30,-49,-163.37892417035783,"{0: 57, 1: 8, 2: 10, 3: 2, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.9389138777035492}",20,-100,-622.4572533667279,"{0: 75, 1: 18, 2: 12, 3: 4, 4: 11}",0
64,False,"{'a': 0.5, 'e': 0.9379749638258457}",20,-85,-506.09446429507955,"{0: 69, 1: 10, 2: 13, 3: 5, 4: 8}",0
65,False,"{'a': 0.5, 'e': 0.9370369888620198}",25,-25,-109.6981231866483,"{0: 34, 1: 5, 2: 10, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.9360999518731578}",25,11,-19.954475777621678,"{0: 10, 1: 3, 2: 0, 3: 1, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.9351638519212846}",20,-22,-151.4439275277294,"{0: 29, 1: 5, 2: 3, 3: 3, 4: 2}",0
68,False,"{'a': 0.5, 'e': 0.9342286880693633}",25,-2,-141.33374936690106,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.933294459381294}",20,-7,-123.2196567914292,"{0: 16, 1: 2, 2: 6, 3: 2, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.9323611649219127}",20,-100,-623.352807833929,"{0: 72, 1: 14, 2: 17, 3: 10, 4: 7}",0
71,False,"{'a': 0.5, 'e': 0.9314288037569908}",25,-34,-225.2871444808864,"{0: 38, 1: 4, 2: 13, 3: 1, 4: 3}",0
72,False,"{'a': 0.5, 'e': 0.9304973749532338}",20,-100,-562.563191910784,"{0: 70, 1: 14, 2: 24, 3: 6, 4: 6}",0
73,False,"{'a': 0.5, 'e': 0.9295668775782806}",30,-100,-607.5783388292299,"{0: 87, 1: 8, 2: 20, 3: 5, 4: 10}",0
74,False,"{'a': 0.5, 'e': 0.9286373107007023}",25,-10,-190.2061341610529,"{0: 22, 1: 1, 2: 8, 3: 1, 4: 3}",0
75,False,"{'a': 0.5, 'e': 0.9277086733900016}",20,3,4.568616723317062,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.9267809647166116}",25,-100,-629.4694138307136,"{0: 74, 1: 12, 2: 26, 3: 5, 4: 8}",0
77,False,"{'a': 0.5, 'e': 0.925854183751895}",30,-32,-236.23178222458705,"{0: 39, 1: 8, 2: 9, 3: 3, 4: 3}",0
78,False,"{'a': 0.5, 'e': 0.9249283295681431}",20,-34,-202.06068127443086,"{0: 35, 1: 5, 2: 9, 3: 3, 4: 2}",0
79,False,"{'a': 0.5, 'e': 0.9240034012385749}",20,-100,-722.9389186207131,"{0: 82, 1: 4, 2: 16, 3: 3, 4: 15}",0
80,False,"{'a': 0.5, 'e': 0.9230793978373364}",20,-100,-524.5645723558125,"{0: 71, 1: 17, 2: 23, 3: 2, 4: 7}",0
81,False,"{'a': 0.5, 'e': 0.9221563184394991}",30,8,-59.0162487324209,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.9212341621210596}",30,5,-164.43112955369182,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",1
83,False,"{'a': 0.5, 'e': 0.9203129279589385}",30,-91,-440.22144082106286,"{0: 71, 1: 16, 2: 27, 3: 4, 4: 3}",0
84,False,"{'a': 0.5, 'e': 0.9193926150309796}",25,-100,-609.4396664979968,"{0: 78, 1: 7, 2: 28, 3: 3, 4: 9}",0
85,False,"{'a': 0.5, 'e': 0.9184732224159486}",25,-24,-274.0373224457672,"{0: 31, 1: 4, 2: 8, 3: 1, 4: 5}",0
86,False,"{'a': 0.5, 'e': 0.9175547491935327}",20,-2,-141.51105402319888,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 3}",0
87,False,"{'a': 0.5, 'e': 0.9166371944443392}",30,-41,-241.3431989407306,"{0: 47, 1: 7, 2: 12, 3: 2, 4: 3}",0
88,False,"{'a': 0.5, 'e': 0.9157205572498949}",20,-26,-238.94384511776389,"{0: 29, 1: 6, 2: 5, 3: 2, 4: 4}",0
89,False,"{'a': 0.5, 'e': 0.914804836692645}",25,-30,-248.89285460940647,"{0: 32, 1: 5, 2: 13, 3: 3, 4: 2}",0
90,False,"{'a': 0.5, 'e': 0.9138900318559524}",30,-100,-444.7204998622241,"{0: 92, 1: 8, 2: 19, 3: 5, 4: 6}",0
91,False,"{'a': 0.5, 'e': 0.9129761418240965}",30,-39,-237.82733447283692,"{0: 48, 1: 7, 2: 9, 3: 1, 4: 4}",0
92,False,"{'a': 0.5, 'e': 0.9120631656822724}",25,-25,-172.28904918916936,"{0: 28, 1: 11, 2: 8, 3: 2, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.9111511025165902}",20,8,22.613927813757424,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.9102399514140735}",25,-43,-211.97245647005988,"{0: 49, 1: 4, 2: 9, 3: 3, 4: 3}",0
95,False,"{'a': 0.5, 'e': 0.9093297114626595}",20,-43,-224.6819454596611,"{0: 44, 1: 7, 2: 7, 3: 1, 4: 4}",0
96,False,"{'a': 0.5, 'e': 0.9084203817511969}",25,14,-10.632398592559229,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.9075119613694457}",20,-90,-401.92862401488185,"{0: 76, 1: 11, 2: 13, 3: 3, 4: 7}",0
98,False,"{'a': 0.5, 'e': 0.9066044494080763}",20,-53,-283.1302180122908,"{0: 48, 1: 6, 2: 13, 3: 2, 4: 4}",0
99,False,"{'a': 0.5, 'e': 0.9056978449586682}",20,-32,-104.89518625947794,"{0: 41, 1: 2, 2: 6, 3: 1, 4: 2}",0
100,False,"{'a': 0.5, 'e': 0.9047921471137096}",25,-65,-291.94296282104506,"{0: 61, 1: 5, 2: 18, 3: 3, 4: 3}",0
101,False,"{'a': 0.5, 'e': 0.9038873549665959}",20,-66,-419.14139942361066,"{0: 53, 1: 10, 2: 12, 3: 5, 4: 6}",0
102,False,"{'a': 0.5, 'e': 0.9029834676116293}",20,-100,-368.6213944638939,"{0: 78, 1: 14, 2: 22, 3: 2, 4: 4}",0
103,False,"{'a': 0.5, 'e': 0.9020804841440176}",25,-100,-369.4635499427289,"{0: 91, 1: 6, 2: 19, 3: 4, 4: 5}",0
104,False,"{'a': 0.5, 'e': 0.9011784036598737}",25,-53,-253.93060595576142,"{0: 57, 1: 6, 2: 9, 3: 1, 4: 5}",0
105,False,"{'a': 0.5, 'e': 0.9002772252562138}",25,-78,-593.4248046887842,"{0: 56, 1: 12, 2: 23, 3: 5, 4: 7}",0
106,False,"{'a': 0.5, 'e': 0.8993769480309576}",25,-7,-181.00052835677565,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 3}",0
107,False,"{'a': 0.5, 'e': 0.8984775710829266}",20,-100,-608.221864433027,"{0: 74, 1: 8, 2: 26, 3: 3, 4: 9}",0
108,False,"{'a': 0.5, 'e': 0.8975790935118436}",20,-10,-214.37180002628483,"{0: 17, 1: 1, 2: 8, 3: 0, 4: 4}",0
109,False,"{'a': 0.5, 'e': 0.8966815144183318}",20,-11,-91.96528655167036,"{0: 22, 1: 1, 2: 6, 3: 1, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.8957848329039134}",25,-17,-198.8895707844598,"{0: 23, 1: 9, 2: 5, 3: 3, 4: 2}",0
111,False,"{'a': 0.5, 'e': 0.8948890480710096}",20,-3,-56.16074360458625,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.8939941590229386}",25,-70,-348.94955415215503,"{0: 60, 1: 13, 2: 14, 3: 4, 4: 4}",0
113,False,"{'a': 0.5, 'e': 0.8931001648639156}",25,-14,-86.79002582756831,"{0: 25, 1: 4, 2: 9, 3: 1, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.8922070646990518}",25,-24,-339.2390783981235,"{0: 28, 1: 4, 2: 8, 3: 4, 4: 5}",0
115,False,"{'a': 0.5, 'e': 0.8913148576343527}",25,-2,-17.325537642873055,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.8904235427767183}",30,-48,-361.4959857676301,"{0: 49, 1: 9, 2: 12, 3: 2, 4: 6}",0
117,False,"{'a': 0.5, 'e': 0.8895331192339416}",25,-35,-206.04959234611763,"{0: 41, 1: 4, 2: 11, 3: 1, 4: 3}",0
118,False,"{'a': 0.5, 'e': 0.8886435861147077}",30,-17,-215.6863358104417,"{0: 31, 1: 2, 2: 9, 3: 2, 4: 3}",0
119,False,"{'a': 0.5, 'e': 0.887754942528593}",30,-21,-276.1143484982366,"{0: 32, 1: 4, 2: 9, 3: 1, 4: 5}",0
120,False,"{'a': 0.5, 'e': 0.8868671875860644}",30,-33,-401.05536843896493,"{0: 35, 1: 7, 2: 14, 3: 0, 4: 7}",0
