trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
410,False,"{'a': 0.5, 'e': 0.6635141250307047}",25,-27,-236.71501968186797,"{0: 32, 1: 3, 2: 12, 3: 2, 4: 3}",0
411,False,"{'a': 0.5, 'e': 0.662850610905674}",20,1,-91.18398577231477,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 1}",1
412,False,"{'a': 0.5, 'e': 0.6621877602947683}",35,20,-59.94179519602082,"{0: 9, 1: 4, 2: 1, 3: 0, 4: 1}",1
413,False,"{'a': 0.5, 'e': 0.6615255725344735}",25,-7,-100.187208389317,"{0: 20, 1: 5, 2: 5, 3: 1, 4: 1}",0
414,False,"{'a': 0.5, 'e': 0.660864046961939}",20,-17,-118.9499100271193,"{0: 28, 1: 2, 2: 3, 3: 2, 4: 2}",0
415,False,"{'a': 0.5, 'e': 0.660203182914977}",30,5,1.8972814497546475,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",1
416,False,"{'a': 0.5, 'e': 0.6595429797320621}",25,9,-59.84880125697531,"{0: 12, 1: 1, 2: 0, 3: 2, 4: 1}",1
417,False,"{'a': 0.5, 'e': 0.6588834367523301}",20,-59,-314.6818748978965,"{0: 56, 1: 2, 2: 14, 3: 1, 4: 6}",0
418,False,"{'a': 0.5, 'e': 0.6582245533155777}",20,-24,-150.26094697810885,"{0: 31, 1: 4, 2: 6, 3: 0, 4: 3}",0
419,False,"{'a': 0.5, 'e': 0.6575663287622622}",25,-1,-1.7976000270142984,"{0: 23, 1: 0, 2: 2, 3: 1, 4: 0}",1
420,False,"{'a': 0.5, 'e': 0.6569087624334999}",20,-42,-144.0242255395307,"{0: 44, 1: 4, 2: 11, 3: 2, 4: 1}",0
421,False,"{'a': 0.5, 'e': 0.6562518536710664}",20,-27,-161.55868244397575,"{0: 33, 1: 2, 2: 9, 3: 0, 4: 3}",0
422,False,"{'a': 0.5, 'e': 0.6555956018173954}",25,-17,-72.40737073629693,"{0: 33, 1: 2, 2: 4, 3: 2, 4: 1}",0
423,False,"{'a': 0.5, 'e': 0.654940006215578}",25,3,-52.957995784932656,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 1}",1
424,False,"{'a': 0.5, 'e': 0.6542850662093624}",35,0,-52.29424947018238,"{0: 28, 1: 2, 2: 3, 3: 1, 4: 1}",1
425,False,"{'a': 0.5, 'e': 0.6536307811431531}",20,2,-55.44513535575998,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
426,False,"{'a': 0.5, 'e': 0.65297715036201}",25,-2,-74.96244465265644,"{0: 18, 1: 2, 2: 4, 3: 3, 4: 0}",0
427,False,"{'a': 0.5, 'e': 0.6523241732116479}",20,-9,13.436067719200004,"{0: 25, 1: 3, 2: 1, 3: 0, 4: 0}",0
428,False,"{'a': 0.5, 'e': 0.6516718490384363}",30,-100,-321.0142864767327,"{0: 95, 1: 9, 2: 18, 3: 3, 4: 5}",0
429,False,"{'a': 0.5, 'e': 0.6510201771893979}",20,-1,-30.94160572070045,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 1}",1
430,False,"{'a': 0.5, 'e': 0.6503691570122084}",35,21,-43.667587299245405,"{0: 8, 1: 0, 2: 6, 3: 0, 4: 0}",1
431,False,"{'a': 0.5, 'e': 0.6497187878551962}",30,-33,-128.41010749873163,"{0: 48, 1: 4, 2: 7, 3: 2, 4: 2}",0
432,False,"{'a': 0.5, 'e': 0.649069069067341}",30,-12,-63.79457493456522,"{0: 34, 1: 1, 2: 4, 3: 2, 4: 1}",0
433,False,"{'a': 0.5, 'e': 0.6484199999982736}",20,4,-24.53076841057988,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 0}",1
434,False,"{'a': 0.5, 'e': 0.6477715799982753}",25,3,-80.55387772105506,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 2}",1
435,False,"{'a': 0.5, 'e': 0.647123808418277}",30,0,-29.04972375296198,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",1
436,False,"{'a': 0.5, 'e': 0.6464766846098587}",20,3,-31.58930600057814,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
437,False,"{'a': 0.5, 'e': 0.6458302079252489}",20,16,7.819095790079117,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
438,False,"{'a': 0.5, 'e': 0.6451843777173236}",30,11,-9.094364964984225,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 0}",1
439,False,"{'a': 0.5, 'e': 0.6445391933396063}",20,15,6.52589566085518,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,False,"{'a': 0.5, 'e': 0.6438946541462667}",25,11,-12.41506783855502,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
441,False,"{'a': 0.5, 'e': 0.6432507594921204}",25,-3,-89.13239102379808,"{0: 22, 1: 0, 2: 3, 3: 1, 4: 2}",0
442,False,"{'a': 0.5, 'e': 0.6426075087326283}",25,10,8.602056050364148,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
443,False,"{'a': 0.5, 'e': 0.6419649012238956}",30,8,-86.46842086107804,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 1}",1
444,False,"{'a': 0.5, 'e': 0.6413229363226717}",20,0,-70.14387985741341,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",1
445,False,"{'a': 0.5, 'e': 0.640681613386349}",25,14,10.518765761485858,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
446,False,"{'a': 0.5, 'e': 0.6400409317729626}",25,4,-48.968792455753146,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 0}",1
447,False,"{'a': 0.5, 'e': 0.6394008908411897}",20,7,-65.30192353694767,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 1}",1
448,False,"{'a': 0.5, 'e': 0.6387614899503485}",20,4,-17.59806811692204,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
449,False,"{'a': 0.5, 'e': 0.6381227284603982}",25,-19,-70.84807614917713,"{0: 34, 1: 2, 2: 6, 3: 1, 4: 1}",0
450,False,"{'a': 0.5, 'e': 0.6374846057319378}",25,-4,-54.237580403005055,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 2}",0
451,False,"{'a': 0.5, 'e': 0.6368471211262058}",20,-3,-56.566096090716826,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 1}",0
452,False,"{'a': 0.5, 'e': 0.6362102740050796}",20,-28,-129.3193759268202,"{0: 34, 1: 5, 2: 5, 3: 2, 4: 2}",0
453,False,"{'a': 0.5, 'e': 0.6355740637310745}",30,17,-4.80984701724574,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
454,False,"{'a': 0.5, 'e': 0.6349384896673435}",20,7,-56.39554947893219,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 1}",1
455,False,"{'a': 0.5, 'e': 0.6343035511776761}",30,-1,-85.00139234046446,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 2}",1
456,False,"{'a': 0.5, 'e': 0.6336692476264985}",30,12,-1.2914489136475578,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
457,False,"{'a': 0.5, 'e': 0.6330355783788719}",25,-2,-73.16803663049232,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 2}",0
458,False,"{'a': 0.5, 'e': 0.632402542800493}",20,-2,0.5615318393031807,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 0}",0
459,False,"{'a': 0.5, 'e': 0.6317701402576925}",25,-7,-132.78449730933363,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 2}",0
460,False,"{'a': 0.5, 'e': 0.6311383701174348}",25,8,-66.21770229550555,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 1}",1
461,False,"{'a': 0.5, 'e': 0.6305072317473174}",20,-36,-161.50243761786663,"{0: 41, 1: 2, 2: 10, 3: 0, 4: 3}",0
462,False,"{'a': 0.5, 'e': 0.6298767245155701}",30,-24,-199.2990677972358,"{0: 41, 1: 2, 2: 4, 3: 3, 4: 4}",0
463,False,"{'a': 0.5, 'e': 0.6292468477910546}",20,-28,-110.65822550195622,"{0: 33, 1: 7, 2: 4, 3: 3, 4: 1}",0
464,False,"{'a': 0.5, 'e': 0.6286176009432635}",20,-2,-18.830662692048765,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 0}",0
465,False,"{'a': 0.5, 'e': 0.6279889833423202}",20,-7,-99.33301410237527,"{0: 20, 1: 0, 2: 3, 3: 3, 4: 1}",0
466,False,"{'a': 0.5, 'e': 0.6273609943589779}",20,-33,-169.15974573093496,"{0: 35, 1: 4, 2: 11, 3: 1, 4: 2}",0
467,False,"{'a': 0.5, 'e': 0.6267336333646188}",20,12,-50.567922068977616,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
468,False,"{'a': 0.5, 'e': 0.6261068997312542}",30,-68,-233.8876392622546,"{0: 75, 1: 3, 2: 12, 3: 5, 4: 3}",0
469,False,"{'a': 0.5, 'e': 0.6254807928315229}",25,13,-54.01210124094709,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
470,False,"{'a': 0.5, 'e': 0.6248553120386914}",25,6,-41.875596338877564,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 0}",1
471,False,"{'a': 0.5, 'e': 0.6242304567266527}",20,-17,-105.22180431111805,"{0: 28, 1: 0, 2: 4, 3: 4, 4: 1}",0
472,False,"{'a': 0.5, 'e': 0.623606226269926}",20,-31,-221.4550434515231,"{0: 32, 1: 3, 2: 10, 3: 4, 4: 2}",0
473,False,"{'a': 0.5, 'e': 0.6229826200436561}",25,13,-99.56714901681548,"{0: 5, 1: 0, 2: 5, 3: 1, 4: 1}",1
474,False,"{'a': 0.5, 'e': 0.6223596374236124}",30,-16,-162.07684264108212,"{0: 32, 1: 5, 2: 5, 3: 1, 4: 3}",0
475,False,"{'a': 0.5, 'e': 0.6217372777861888}",30,-6,-80.79282721716096,"{0: 24, 1: 2, 2: 9, 3: 1, 4: 0}",0
476,False,"{'a': 0.5, 'e': 0.6211155405084027}",20,10,-22.785708048799027,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
477,False,"{'a': 0.5, 'e': 0.6204944249678943}",20,12,4.694776558699862,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
478,False,"{'a': 0.5, 'e': 0.6198739305429264}",20,2,-116.15530337933038,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 1}",1
479,False,"{'a': 0.5, 'e': 0.6192540566123834}",25,11,-35.16832712213551,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 0}",1
480,False,"{'a': 0.5, 'e': 0.6186348025557711}",25,10,7.4298757331957646,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
481,False,"{'a': 0.5, 'e': 0.6180161677532153}",25,13,14.416708886309335,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
482,False,"{'a': 0.5, 'e': 0.6173981515854621}",25,1,-95.26629436448572,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 1}",1
483,False,"{'a': 0.5, 'e': 0.6167807534338766}",35,13,-78.71838761708527,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 2}",1
484,False,"{'a': 0.5, 'e': 0.6161639726804428}",30,10,-23.99901905449196,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",1
485,False,"{'a': 0.5, 'e': 0.6155478087077623}",25,2,-89.76346167242278,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 2}",1
486,False,"{'a': 0.5, 'e': 0.6149322608990545}",20,1,4.598107554545386,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
487,False,"{'a': 0.5, 'e': 0.6143173286381555}",25,-9,-85.8861852561992,"{0: 25, 1: 3, 2: 3, 3: 2, 4: 1}",0
488,False,"{'a': 0.5, 'e': 0.6137030113095173}",25,7,-2.207614454478595,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
489,False,"{'a': 0.5, 'e': 0.6130893082982078}",25,3,-13.2282633350226,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 0}",1
490,False,"{'a': 0.5, 'e': 0.6124762189899097}",20,7,-13.481860066765917,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
491,False,"{'a': 0.5, 'e': 0.6118637427709198}",30,-1,-85.97978674267397,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 1}",1
492,False,"{'a': 0.5, 'e': 0.6112518790281489}",25,13,-53.6820085793109,"{0: 8, 1: 2, 2: 0, 3: 1, 4: 1}",1
493,False,"{'a': 0.5, 'e': 0.6106406271491208}",20,12,-13.258966472029233,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
494,False,"{'a': 0.5, 'e': 0.6100299865219717}",35,-37,-81.70562008854881,"{0: 56, 1: 4, 2: 8, 3: 4, 4: 0}",0
495,False,"{'a': 0.5, 'e': 0.6094199565354498}",30,10,-83.19805644190217,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",1
496,False,"{'a': 0.5, 'e': 0.6088105365789144}",25,-5,-44.9592370470649,"{0: 23, 1: 1, 2: 4, 3: 2, 4: 0}",0
497,False,"{'a': 0.5, 'e': 0.6082017260423355}",35,20,-38.324280297291374,"{0: 11, 1: 3, 2: 0, 3: 0, 4: 1}",1
498,False,"{'a': 0.5, 'e': 0.6075935243162931}",20,2,-11.102352638437074,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
499,False,"{'a': 0.5, 'e': 0.6069859307919768}",20,11,0.00015914574860942388,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
500,False,"{'a': 0.5, 'e': 0.6063789448611848}",20,11,-30.2262168382578,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 0}",1
501,False,"{'a': 0.5, 'e': 0.6057725659163237}",20,-21,-133.66703030357206,"{0: 32, 1: 1, 2: 4, 3: 1, 4: 3}",0
502,False,"{'a': 0.5, 'e': 0.6051667933504074}",25,6,-16.64626766137486,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
503,False,"{'a': 0.5, 'e': 0.6045616265570569}",30,8,1.515053375613236,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 0}",1
504,False,"{'a': 0.5, 'e': 0.6039570649304998}",25,-14,-101.830426337005,"{0: 30, 1: 2, 2: 4, 3: 1, 4: 2}",0
505,False,"{'a': 0.5, 'e': 0.6033531078655693}",20,-2,-69.50539015986683,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 1}",0
506,False,"{'a': 0.5, 'e': 0.6027497547577038}",25,16,15.672541033577026,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
507,False,"{'a': 0.5, 'e': 0.602147005002946}",20,8,1.5842082389631753,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
508,False,"{'a': 0.5, 'e': 0.6015448579979431}",20,-3,-83.49092089681615,"{0: 15, 1: 4, 2: 1, 3: 2, 4: 1}",0
509,False,"{'a': 0.5, 'e': 0.6009433131399452}",20,13,12.804650417955845,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
510,False,"{'a': 0.5, 'e': 0.6003423698268052}",20,1,-50.83780306611507,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 0}",1
511,False,"{'a': 0.5, 'e': 0.5997420274569785}",25,11,0.8106110964140529,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
512,False,"{'a': 0.5, 'e': 0.5991422854295215}",30,5,-85.83715786054165,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",1
513,False,"{'a': 0.5, 'e': 0.598543143144092}",20,-6,-0.7596273567588598,"{0: 22, 1: 1, 2: 3, 3: 0, 4: 0}",0
514,False,"{'a': 0.5, 'e': 0.5979446000009478}",20,-25,-119.05951187642279,"{0: 36, 1: 2, 2: 3, 3: 1, 4: 3}",0
515,False,"{'a': 0.5, 'e': 0.5973466554009469}",25,9,-22.5502432209422,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
516,False,"{'a': 0.5, 'e': 0.596749308745546}",25,12,-64.34053243754732,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 1}",1
517,False,"{'a': 0.5, 'e': 0.5961525594368005}",20,11,8.629453853113924,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
518,False,"{'a': 0.5, 'e': 0.5955564068773637}",20,-11,-74.42326245212891,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 2}",0
519,False,"{'a': 0.5, 'e': 0.5949608504704863}",20,13,-36.19577678273954,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
520,False,"{'a': 0.5, 'e': 0.5943658896200158}",20,-32,-118.88116237321397,"{0: 39, 1: 3, 2: 8, 3: 0, 4: 2}",0
521,False,"{'a': 0.5, 'e': 0.5937715237303958}",30,10,-74.99926025431813,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",1
522,False,"{'a': 0.5, 'e': 0.5931777522066654}",20,-1,-55.943983969639916,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 1}",1
523,False,"{'a': 0.5, 'e': 0.5925845744544587}",35,19,12.965330586643425,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
524,False,"{'a': 0.5, 'e': 0.5919919898800042}",25,-5,-54.340686718105154,"{0: 22, 1: 2, 2: 4, 3: 2, 4: 0}",0
525,False,"{'a': 0.5, 'e': 0.5913999978901242}",20,8,-27.587809346335934,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
526,False,"{'a': 0.5, 'e': 0.590808597892234}",25,-17,-48.93509258201371,"{0: 33, 1: 3, 2: 5, 3: 0, 4: 1}",0
527,False,"{'a': 0.5, 'e': 0.5902177892943418}",20,5,-36.83714939936125,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
528,False,"{'a': 0.5, 'e': 0.5896275715050474}",30,18,-74.69174895027729,"{0: 8, 1: 0, 2: 1, 3: 2, 4: 1}",1
529,False,"{'a': 0.5, 'e': 0.5890379439335424}",30,10,-68.48116427436385,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",1
530,False,"{'a': 0.5, 'e': 0.5884489059896089}",25,15,-4.360079948996012,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
531,False,"{'a': 0.5, 'e': 0.5878604570836192}",20,7,-96.84110596908953,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 2}",1
532,False,"{'a': 0.5, 'e': 0.5872725966265356}",25,3,0.021233358769913835,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 0}",1
533,False,"{'a': 0.5, 'e': 0.5866853240299091}",25,-9,-34.07959118804583,"{0: 25, 1: 3, 2: 6, 3: 0, 4: 0}",0
534,False,"{'a': 0.5, 'e': 0.5860986387058792}",25,9,-37.53838813648737,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 0}",1
535,False,"{'a': 0.5, 'e': 0.5855125400671733}",25,11,-28.976393949769992,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 1}",1
536,False,"{'a': 0.5, 'e': 0.5849270275271061}",25,2,-4.112353629879511,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 0}",1
537,False,"{'a': 0.5, 'e': 0.584342100499579}",25,13,-9.068424978263007,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
538,False,"{'a': 0.5, 'e': 0.5837577583990794}",25,0,-42.216684894901626,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",1
539,False,"{'a': 0.5, 'e': 0.5831740006406804}",20,13,12.123386820828024,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
540,False,"{'a': 0.5, 'e': 0.5825908266400397}",30,-20,-125.10856747904279,"{0: 37, 1: 5, 2: 5, 3: 0, 4: 3}",0
541,False,"{'a': 0.5, 'e': 0.5820082358133997}",20,-1,-13.055712577166481,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
542,False,"{'a': 0.5, 'e': 0.5814262275775862}",25,-14,-91.29896300460061,"{0: 29, 1: 0, 2: 8, 3: 1, 4: 1}",0
543,False,"{'a': 0.5, 'e': 0.5808448013500086}",25,14,-5.2228952454986075,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
544,False,"{'a': 0.5, 'e': 0.5802639565486586}",25,5,-59.51797924902634,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",1
545,False,"{'a': 0.5, 'e': 0.57968369259211}",20,-27,-129.07045098060712,"{0: 35, 1: 3, 2: 5, 3: 2, 4: 2}",0
546,False,"{'a': 0.5, 'e': 0.5791040088995179}",25,15,-15.879833646712544,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
547,False,"{'a': 0.5, 'e': 0.5785249048906184}",30,-2,-69.08709910552824,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 2}",0
548,False,"{'a': 0.5, 'e': 0.5779463799857277}",30,-3,-41.96069056939955,"{0: 27, 1: 2, 2: 2, 3: 1, 4: 1}",0
549,False,"{'a': 0.5, 'e': 0.577368433605742}",35,16,-33.41587279243563,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
550,False,"{'a': 0.5, 'e': 0.5767910651721362}",30,-22,-39.48870672272792,"{0: 42, 1: 2, 2: 6, 3: 2, 4: 0}",0
551,False,"{'a': 0.5, 'e': 0.576214274106964}",20,-28,-148.42090486453412,"{0: 36, 1: 2, 2: 5, 3: 3, 4: 2}",0
552,False,"{'a': 0.5, 'e': 0.5756380598328571}",30,12,-115.92461030876227,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 2}",1
553,False,"{'a': 0.5, 'e': 0.5750624217730242}",20,-3,-14.964283640250702,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 0}",0
554,False,"{'a': 0.5, 'e': 0.5744873593512512}",25,-21,-162.92329704715473,"{0: 31, 1: 0, 2: 12, 3: 1, 4: 2}",0
555,False,"{'a': 0.5, 'e': 0.5739128719918999}",20,-6,-78.03452352398912,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 2}",0
556,False,"{'a': 0.5, 'e': 0.573338959119908}",25,-37,-109.30603907892738,"{0: 48, 1: 2, 2: 9, 3: 1, 4: 2}",0
557,False,"{'a': 0.5, 'e': 0.572765620160788}",20,6,-5.206829580460842,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
558,False,"{'a': 0.5, 'e': 0.5721928545406272}",20,4,-16.555029553538958,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 0}",1
559,False,"{'a': 0.5, 'e': 0.5716206616860866}",20,-5,-20.61569073952124,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
560,False,"{'a': 0.5, 'e': 0.5710490410244006}",25,7,-25.00513224334403,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 0}",1
561,False,"{'a': 0.5, 'e': 0.5704779919833761}",25,-61,-56.30232786538281,"{0: 75, 1: 1, 2: 6, 3: 2, 4: 2}",0
562,False,"{'a': 0.5, 'e': 0.5699075139913927}",20,-27,-72.22248838786652,"{0: 36, 1: 4, 2: 4, 3: 2, 4: 1}",0
563,False,"{'a': 0.5, 'e': 0.5693376064774013}",25,-27,-146.82922931807465,"{0: 40, 1: 2, 2: 6, 3: 1, 4: 3}",0
564,False,"{'a': 0.5, 'e': 0.5687682688709239}",20,11,-6.48613956048143,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
565,False,"{'a': 0.5, 'e': 0.5681995006020529}",20,6,-6.018445544363173,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
566,False,"{'a': 0.5, 'e': 0.5676313011014509}",25,-5,-37.11862442210333,"{0: 23, 1: 5, 2: 1, 3: 0, 4: 1}",0
567,False,"{'a': 0.5, 'e': 0.5670636698003494}",30,4,-12.213967847751286,"{0: 20, 1: 3, 2: 3, 3: 0, 4: 0}",1
568,False,"{'a': 0.5, 'e': 0.5664966061305491}",20,16,7.123979147634272,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
569,False,"{'a': 0.5, 'e': 0.5659301095244186}",25,-5,-51.36205975449883,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
570,False,"{'a': 0.5, 'e': 0.5653641794148941}",20,-2,6.240668129205795,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",0
571,False,"{'a': 0.5, 'e': 0.5647988152354793}",20,10,-12.116818252500037,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
572,False,"{'a': 0.5, 'e': 0.5642340164202437}",20,10,6.325698042991151,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
573,False,"{'a': 0.5, 'e': 0.5636697824038235}",20,6,24.43495442482825,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
574,False,"{'a': 0.5, 'e': 0.5631061126214196}",35,23,16.3996794771807,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
575,False,"{'a': 0.5, 'e': 0.5625430065087982}",30,14,-46.203665158315495,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 1}",1
576,False,"{'a': 0.5, 'e': 0.5619804635022894}",35,5,-57.5443282667945,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",1
577,False,"{'a': 0.5, 'e': 0.561418483038787}",20,5,11.10389437758952,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
578,False,"{'a': 0.5, 'e': 0.5608570645557482}",20,-6,-35.43610643692629,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 1}",0
579,False,"{'a': 0.5, 'e': 0.5602962074911925}",25,1,-18.260308701451272,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 0}",1
580,False,"{'a': 0.5, 'e': 0.5597359112837013}",20,-5,-28.25481888356893,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
581,False,"{'a': 0.5, 'e': 0.5591761753724176}",30,2,-68.65643848527972,"{0: 20, 1: 0, 2: 7, 3: 0, 4: 1}",1
582,False,"{'a': 0.5, 'e': 0.5586169991970452}",20,-15,-75.43504986850756,"{0: 28, 1: 1, 2: 4, 3: 0, 4: 2}",0
583,False,"{'a': 0.5, 'e': 0.5580583821978482}",30,-45,-228.3888312776122,"{0: 53, 1: 8, 2: 8, 3: 2, 4: 4}",0
584,False,"{'a': 0.5, 'e': 0.5575003238156504}",25,14,16.687253276490452,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
585,False,"{'a': 0.5, 'e': 0.5569428234918348}",35,26,-35.059413311939956,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
586,False,"{'a': 0.5, 'e': 0.5563858806683429}",25,-7,-140.99347284552894,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 2}",0
587,False,"{'a': 0.5, 'e': 0.5558294947876746}",20,-10,-141.12264766916337,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
588,False,"{'a': 0.5, 'e': 0.5552736652928869}",20,-13,39.00447888453927,"{0: 31, 1: 1, 2: 1, 3: 0, 4: 0}",0
589,False,"{'a': 0.5, 'e': 0.5547183916275941}",20,3,4.822402347936023,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
590,False,"{'a': 0.5, 'e': 0.5541636732359665}",25,8,-41.29993635031236,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
591,False,"{'a': 0.5, 'e': 0.5536095095627305}",20,2,-31.698572504769064,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 0}",1
592,False,"{'a': 0.5, 'e': 0.5530559000531677}",30,-3,-23.795310822721245,"{0: 28, 1: 1, 2: 3, 3: 0, 4: 1}",0
